"Selitveno gibanje prebivalstva po: STATISTIČNA REGIJA, LETO , MERITVE"

" ";" ";"Priseljeni iz tujine - Skupaj";"Priseljeni iz tujine - Moški";"Priseljeni iz tujine - Ženske"
"SLOVENIJA"
" ";"1995";2191;1135;1056
" ";"1996";1500;768;732
" ";"1997";1093;534;559
" ";"1998";4603;2817;1786
" ";"1999";4941;3683;1258
" ";"2000";6185;4397;1788
" ";"2001";7803;5321;2482
" ";"2002";9134;6216;2918
" ";"2003";9279;6229;3050
" ";"2004";10171;7485;2686
" ";"2005";15041;11130;3911
" ";"2006";20016;15750;4266
" ";"2007";29193;23659;5534
" ";"2008";30693;23815;6878
" ";"2009";30296;22973;7323
" ";"2010";15416;9841;5575
" ";"2011";14089;8317;5772
" ";"2012";15022;9102;5920
" ";"2013";13871;8465;5406
" ";"2014";13846;8242;5604
"Pomurska"
" ";"1995";121;52;69
" ";"1996";94;47;47
" ";"1997";84;40;44
" ";"1998";154;80;74
" ";"1999";88;58;30
" ";"2000";130;72;58
" ";"2001";128;73;55
" ";"2002";196;102;94
" ";"2003";193;108;85
" ";"2004";148;78;70
" ";"2005";299;195;104
" ";"2006";370;250;120
" ";"2007";548;393;155
" ";"2008";485;299;186
" ";"2009";414;264;150
" ";"2010";351;209;142
" ";"2011";411;211;200
" ";"2012";352;215;137
" ";"2013";294;168;126
" ";"2014";433;262;171
"Podravska"
" ";"1995";318;158;160
" ";"1996";242;130;112
" ";"1997";166;75;91
" ";"1998";465;261;204
" ";"1999";399;239;160
" ";"2000";655;413;242
" ";"2001";944;651;293
" ";"2002";822;480;342
" ";"2003";763;438;325
" ";"2004";1035;702;333
" ";"2005";1591;1076;515
" ";"2006";2419;1867;552
" ";"2007";4076;3433;643
" ";"2008";4033;3256;777
" ";"2009";3816;3056;760
" ";"2010";1868;1281;587
" ";"2011";1915;1210;705
" ";"2012";2172;1477;695
" ";"2013";2166;1483;683
" ";"2014";2109;1387;722
"Koroška"
" ";"1995";27;16;11
" ";"1996";23;13;10
" ";"1997";34;16;18
" ";"1998";64;36;28
" ";"1999";75;35;40
" ";"2000";87;65;22
" ";"2001";77;44;33
" ";"2002";104;59;45
" ";"2003";145;89;56
" ";"2004";159;112;47
" ";"2005";301;221;80
" ";"2006";374;293;81
" ";"2007";402;332;70
" ";"2008";558;440;118
" ";"2009";566;423;143
" ";"2010";277;174;103
" ";"2011";302;156;146
" ";"2012";338;213;125
" ";"2013";274;163;111
" ";"2014";282;159;123
"Savinjska"
" ";"1995";251;132;119
" ";"1996";167;79;88
" ";"1997";126;63;63
" ";"1998";571;315;256
" ";"1999";591;401;190
" ";"2000";876;650;226
" ";"2001";1189;806;383
" ";"2002";1580;1097;483
" ";"2003";1492;1050;442
" ";"2004";1587;1233;354
" ";"2005";2446;1927;519
" ";"2006";3237;2652;585
" ";"2007";4356;3644;712
" ";"2008";4055;3350;705
" ";"2009";3966;3102;864
" ";"2010";1824;1210;614
" ";"2011";1535;975;560
" ";"2012";1811;1150;661
" ";"2013";1866;1226;640
" ";"2014";1524;880;644
"Zasavska"
" ";"1995";49;28;21
" ";"1996";22;11;11
" ";"1997";19;9;10
" ";"1998";113;72;41
" ";"1999";84;67;17
" ";"2000";108;85;23
" ";"2001";162;126;36
" ";"2002";216;156;60
" ";"2003";219;159;60
" ";"2004";157;117;40
" ";"2005";255;201;54
" ";"2006";188;144;44
" ";"2007";303;227;76
" ";"2008";376;264;112
" ";"2009";401;300;101
" ";"2010";187;111;76
" ";"2011";149;89;60
" ";"2012";170;99;71
" ";"2013";145;71;74
" ";"2014";131;67;64
"Spodnjeposavska"
" ";"1995";120;54;66
" ";"1996";67;30;37
" ";"1997";45;20;25
" ";"1998";326;176;150
" ";"1999";204;169;35
" ";"2000";387;268;119
" ";"2001";302;190;112
