"Meddržavne selitve po: SELITVE, LETO, STAROSTNE SKUPINE, DRŽAVLJANSTVO"
", SPOL"

" ";" ";" ";" ";"Spol - SKUPAJ";"Moški";"Ženske"
"Priseljeni iz tujine"
" ";"1995"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";5879;3656;2223
" ";" ";" ";"Državljani Republike Slovenije";2191;1135;1056
" ";" ";" ";"Tuji državljani";3688;2521;1167
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";412;209;203
" ";" ";" ";"Državljani Republike Slovenije";169;89;80
" ";" ";" ";"Tuji državljani";243;120;123
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";345;176;169
" ";" ";" ";"Državljani Republike Slovenije";159;80;79
" ";" ";" ";"Tuji državljani";186;96;90
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";261;142;119
" ";" ";" ";"Državljani Republike Slovenije";145;76;69
" ";" ";" ";"Tuji državljani";116;66;50
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";419;289;130
" ";" ";" ";"Državljani Republike Slovenije";137;75;62
" ";" ";" ";"Tuji državljani";282;214;68
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";590;362;228
" ";" ";" ";"Državljani Republike Slovenije";133;67;66
" ";" ";" ";"Tuji državljani";457;295;162
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";779;501;278
" ";" ";" ";"Državljani Republike Slovenije";211;103;108
" ";" ";" ";"Tuji državljani";568;398;170
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";752;514;238
" ";" ";" ";"Državljani Republike Slovenije";231;132;99
" ";" ";" ";"Tuji državljani";521;382;139
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";565;398;167
" ";" ";" ";"Državljani Republike Slovenije";184;115;69
" ";" ";" ";"Tuji državljani";381;283;98
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";477;349;128
" ";" ";" ";"Državljani Republike Slovenije";178;109;69
" ";" ";" ";"Tuji državljani";299;240;59
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";348;230;118
" ";" ";" ";"Državljani Republike Slovenije";124;57;67
" ";" ";" ";"Tuji državljani";224;173;51
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";210;135;75
" ";" ";" ";"Državljani Republike Slovenije";91;41;50
" ";" ";" ";"Tuji državljani";119;94;25
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";205;121;84
" ";" ";" ";"Državljani Republike Slovenije";112;55;57
" ";" ";" ";"Tuji državljani";93;66;27
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";159;78;81
" ";" ";" ";"Državljani Republike Slovenije";101;43;58
" ";" ";" ";"Tuji državljani";58;35;23
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";142;70;72
" ";" ";" ";"Državljani Republike Slovenije";91;45;46
" ";" ";" ";"Tuji državljani";51;25;26
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";100;44;56
" ";" ";" ";"Državljani Republike Slovenije";61;23;38
" ";" ";" ";"Tuji državljani";39;21;18
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";52;17;35
" ";" ";" ";"Državljani Republike Slovenije";33;11;22
" ";" ";" ";"Tuji državljani";19;6;13
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";37;14;23
" ";" ";" ";"Državljani Republike Slovenije";21;10;11
" ";" ";" ";"Tuji državljani";16;4;12
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";26;7;19
" ";" ";" ";"Državljani Republike Slovenije";10;4;6
" ";" ";" ";"Tuji državljani";16;3;13
" ";"1996"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";9495;5979;3516
" ";" ";" ";"Državljani Republike Slovenije";1500;768;732
" ";" ";" ";"Tuji državljani";7995;5211;2784
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";487;264;223
" ";" ";" ";"Državljani Republike Slovenije";143;76;67
" ";" ";" ";"Tuji državljani";344;188;156
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";638;330;308
" ";" ";" ";"Državljani Republike Slovenije";96;50;46
