"Selitveno gibanje prebivalstva po: STATISTIÈNA REGIJA, LETO , MERITVE"

" ";" ";"Priseljeni iz tujine - Skupaj";"Priseljeni iz tujine - Moški";"Priseljeni iz tujine - Ženske";"Odseljeni v tujino - Skupaj";"Odseljeni v tujino - Moški";"Odseljeni v tujino - Ženske";"Priseljeni iz tujine na 1000 prebivalcev";"Odseljeni v tujino na 1000 prebivalcev"
"Pomurska"
" ";"1995";121;52;69;45;23;22;1.0;0.4
" ";"1996";94;47;47;66;35;31;0.7;0.5
" ";"1997";84;40;44;87;37;50;0.7;0.7
" ";"1998";154;80;74;176;105;71;1.2;1.4
" ";"1999";88;58;30;143;94;49;0.7;1.1
" ";"2000";130;72;58;254;184;70;1.0;2.0
" ";"2001";128;73;55;152;71;81;1.0;1.2
" ";"2002";196;102;94;227;104;123;1.6;1.8
" ";"2003";193;108;85;215;123;92;1.6;1.7
" ";"2004";148;78;70;187;97;90;1.2;1.5
" ";"2005";299;195;104;176;88;88;2.4;1.4
" ";"2006";370;250;120;361;229;132;3.0;3.0
" ";"2007";548;393;155;463;266;197;4.5;3.8
" ";"2008";485;299;186;426;251;175;4.0;3.5
" ";"2009";414;264;150;450;265;185;3.5;3.8
" ";"2010";351;209;142;433;231;202;2.9;3.6
" ";"2011";411;211;200;393;209;184;3.4;3.3
" ";"2012";352;215;137;1003;509;494;3.0;8.5
" ";"2013";294;168;126;644;351;293;2.5;5.5
" ";"2014";433;262;171;564;301;263;3.7;4.8
"Podravska"
" ";"1995";318;158;160;127;72;55;1.0;0.4
" ";"1996";242;130;112;106;39;67;0.8;0.3
" ";"1997";166;75;91;117;60;57;0.5;0.4
" ";"1998";465;261;204;505;363;142;1.5;1.6
" ";"1999";399;239;160;241;132;109;1.2;0.8
" ";"2000";655;413;242;280;192;88;2.0;0.9
" ";"2001";944;651;293;326;189;137;3.0;1.0
" ";"2002";822;480;342;662;358;304;2.6;2.1
" ";"2003";763;438;325;546;287;259;2.4;1.7
" ";"2004";1035;702;333;785;504;281;3.2;2.5
" ";"2005";1591;1076;515;886;598;288;5.0;2.8
" ";"2006";2419;1867;552;1649;1214;435;7.6;5.2
" ";"2007";4076;3433;643;1939;1364;575;12.7;6.0
" ";"2008";4033;3256;777;3189;1918;1271;12.6;9.9
" ";"2009";3816;3056;760;2768;2260;508;11.8;8.6
" ";"2010";1868;1281;587;2159;1554;605;5.8;6.7
" ";"2011";1915;1210;705;1620;1071;549;5.9;5.0
" ";"2012";2172;1477;695;2543;1487;1056;6.7;7.9
" ";"2013";2166;1483;683;2366;1383;983;6.7;7.3
" ";"2014";2109;1387;722;2326;1459;867;6.5;7.2
"Koroška"
" ";"1995";27;16;11;48;22;26;0.4;0.6
" ";"1996";23;13;10;24;15;9;0.3;0.3
" ";"1997";34;16;18;37;19;18;0.5;0.5
" ";"1998";64;36;28;111;56;55;0.9;1.5
" ";"1999";75;35;40;44;22;22;1.0;0.6
